URL,Restaurant name,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing  Hours,Image URL,dining service,Dining service2,Delivery service
"https://www.google.com/maps/place/The+Cheap+Restaurant,+Pokhara/data=!4m7!3m6!1s0x399595c26a8b1135:0x689c67771ac6f630!8m2!3d28.2204287!4d83.9575068!16s%2Fg%2F11vf4hrd7l!19sChIJNRGLasKVlTkRMPbGGndnnGg?authuser=0&hl=en&rclk=1","The Cheap Restaurant, Pokhara",5,2,Asian,6XC5+52C, Opens 8AM,Closes 11PM,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,Dine-in,Drive-through,Delivery
https://www.google.com/maps/place/Annapurna+Food+Camp/data=!4m7!3m6!1s0x39959525683f51af:0xc3001f9d84b99f17!8m2!3d28.2087367!4d83.9571587!16s%2Fg%2F11qh8d3m6v!19sChIJr1E_aCWVlTkRF5-5hJ0fAMM?authuser=0&hl=en&rclk=1,Annapurna Food Camp,4,66,Vegetarian,"Monsoon conplex, Street No. 13 chowk", Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPL3JSjK_newNopl68qAsWC-X_204y7eH6MBqn8=w80-h106-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Gurans+Thakali+Kitchen+%26+Restaurant/data=!4m7!3m6!1s0x3995951c3ee2334b:0x36c8112d493cbfb8!8m2!3d28.2092773!4d83.9598198!16s%2Fg%2F11bw3y9jhd!19sChIJSzPiPhyVlTkRuL88SS0RyDY?authuser=0&hl=en&rclk=1,Gurans Thakali Kitchen & Restaurant,4,57,Restaurant,"6X55+PW8, Baidam Rd", Opens 8AM,Closes 5PM,https://lh5.googleusercontent.com/p/AF1QipNJWHl3m_TA92bDusNj5rYekjD6exeFvc62CH_N=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/PVT+%28Pokhara+Valley+Top+Jhol+MoMo%29/data=!4m7!3m6!1s0x3995956f5b8b58a5:0x6929e36266299c6e!8m2!3d28.2110721!4d83.9814925!16s%2Fg%2F11j60_748c!19sChIJpViLW2-VlTkRbpwpZmLjKWk?authuser=0&hl=en&rclk=1,PVT (Pokhara Valley Top Jhol MoMo),4.1,36,Restaurant,"6X6J+FH6, Phewa Marga", Opens 8AM,Closes 7:30AM ,https://lh5.googleusercontent.com/p/AF1QipPIlbSAPhHS3S32F0FcMu2RLgeBw10uLREqD6_w=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Dalle+Pokhara/data=!4m7!3m6!1s0x39959577cef41b1f:0xb640547ed898f119!8m2!3d28.224145!4d83.9864869!16s%2Fg%2F11jv0xh38m!19sChIJHxv0zneVlTkRGfGY2H5UQLY?authuser=0&hl=en&rclk=1,Dalle Pokhara,3.2,68,Fast Food,, Opens 8AM,Closes 7:30PM,https://lh5.googleusercontent.com/p/AF1QipMOWdMITWuD4GCDDG51IxoSXzbnL1J5LDmLKfG1=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Fewa+Fish+Restaurant+and+Sekuwa+Corner/data=!4m7!3m6!1s0x399595591d28dc91:0xb4e5ecd9c6d07933!8m2!3d28.214188!4d83.956899!16s%2Fg%2F11mb0rzxtf!19sChIJkdwoHVmVlTkRM3nQxtns5bQ?authuser=0&hl=en&rclk=1,Fewa Fish Restaurant and Sekuwa Corner,4.1,44,Restaurant,, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipNd6E6xhPt8Db8v0g1Wpr6iTL5z3nmHUcNCU3Sx=w163-h92-k-no,Dine-in,Drive-through,Delivery
https://www.google.com/maps/place/Open+Lake+Restaurant+%26+Bar/data=!4m7!3m6!1s0x399595aa504a0c95:0xb2856d16e7254657!8m2!3d28.2196736!4d83.9579494!16s%2Fg%2F11pdp81fb1!19sChIJlQxKUKqVlTkRV0Yl5xZthbI?authuser=0&hl=en&rclk=1,Open Lake Restaurant & Bar,4.5,2,Restaurant,Kahare Lakeside, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOcjXzYPWDMfWJpZhmY1Pfy_IW7GpFFfjFHsMRc=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Y5+Restaurant/data=!4m7!3m6!1s0x399595b2f0f3dc13:0x68e851fdb45d6757!8m2!3d28.2119408!4d83.9868901!16s%2Fg%2F11g6vhx3hm!19sChIJE9zz8LKVlTkRV2ddtP1R6Gg?authuser=0&hl=en&rclk=1,Y5 Restaurant,4.2,107,Restaurant,Nayabazar Rd 5, Opens 8AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipOZrsZ7SOf7VnG3_wLPtB0WeI5Z0WOeP03QyR2t=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Fire+Pizza+Pokhara/data=!4m7!3m6!1s0x3995951cc3950051:0x202723fff1551d96!8m2!3d28.2128621!4d83.9570817!16s%2Fg%2F11kq4lmw3k!19sChIJUQCVwxyVlTkRlh1V8f8jJyA?authuser=0&hl=en&rclk=1,Fire Pizza Pokhara,4.8,16,Restaurant,Baidam Rd 6, Opens 8AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipPFxwT0d9gBzlgwa4CdmuFyDNVyiyVChGL_P2xN=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Smile+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x3995944d7584f467:0xce8cefbd15e9b17b!8m2!3d28.2166696!4d83.9860586!16s%2Fg%2F11d_v579h1!19sChIJZ_SEdU2UlTkRe7HpFb3vjM4?authuser=0&hl=en&rclk=1,Smile Cafe & Restaurant,4,26,Restaurant,6X8P+MC7, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMg0WZk2DKgaz9nITKVOb0g7lNnYBJceEPCVQ7z=w122-h92-k-no,Dine-in,Takeaway,Delivery
