URL,Title,Rating,Totalratings,RestaurantType,location,OpeningHours,ClosingHours,ImageURL,diningService,DiningService2,DeliveryService,location
https://www.google.com/maps/place/The+Falcha+%26+Pizza+91/data=!4m7!3m6!1s0x3994ef8145706701:0x16b063b6b9868d92!8m2!3d27.6231399!4d84.5122582!16s%2Fg%2F11g0hmrhkl!19sChIJAWdwRYHvlDkRko2GubZjsBY?authuser=0&hl=en&rclk=1,The Falcha & Pizza 91,4,132,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMs-IYvIV9x8oLVysY6t2lYpGhGuBEtkP0ChpmT=w122-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Chitwan+Mo:Mo+point/data=!4m7!3m6!1s0x3994ef5397e98aa7:0x9d15f491496935b7!8m2!3d27.6201338!4d84.5158944!16s%2Fg%2F11sm6pn3qy!19sChIJp4rpl1PvlDkRtzVpSZH0FZ0?authuser=0&hl=en&rclk=1,Chitwan Mo:Mo point,5,1,Restaurant,Failed to retrieve search results, Opens 7AM , Opens 7AM ,https://lh5.googleusercontent.com/p/AF1QipMyE3_XUE7ABs6QncuCDaNllkI3siM7Ds6wgPFH=w145-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Zhang+Da+Shi+Restaurant/data=!4m7!3m6!1s0x3994ef47153e5127:0xd201faced4ce6244!8m2!3d27.5766601!4d84.4936914!16s%2Fg%2F11ghr9shvf!19sChIJJ1E-FUfvlDkRRGLO1M76AdI?authuser=0&hl=en&rclk=1,Zhang Da Shi Restaurant,4,7,Chinese,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipNwA3MT-0giEI9-62jLFzAaXJ4Xi7Ac7pZNtC8F=w163-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/The+90%27s+restaurant+and+bar/data=!4m7!3m6!1s0x3994ef7f20afb68b:0xcdf51184a5e0ef8f!8m2!3d27.6217136!4d84.5164225!16s%2Fg%2F11frdqntm3!19sChIJi7avIH_vlDkRj-_gpYQR9c0?authuser=0&hl=en&rclk=1,The 90's restaurant and bar,4.1,55,Restaurant,Failed to retrieve search results, Opens 6AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPuV2CoXQcgP-7ybaX8bQHWkSD4vy57OMTif_uQ=w122-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Astha+Restaurant+%26+Sekuwa+Corner/data=!4m7!3m6!1s0x3994e982d6f3f6a3:0x26463e66d4395fae!8m2!3d27.5987242!4d84.5375932!16s%2Fg%2F11jdn6_tcx!19sChIJo_bz1oLplDkRrl851GY-RiY?authuser=0&hl=en&rclk=1,Astha Restaurant & Sekuwa Corner,5,2,Restaurant,Failed to retrieve search results, Opens 8AM ,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipNmN798JUUmfwrn3TyOV5Cm-WCtFxG-cUnwFa4V=w80-h106-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
"https://www.google.com/maps/place/Mustang+Thakali+,+Gaida+Chowk,+Sauraha,+Chitwan/data=!4m7!3m6!1s0x3994efc7c976ce13:0x60d7e5dc95d902ea!8m2!3d27.5773902!4d84.4941519!16s%2Fg%2F11qh56gbm3!19sChIJE852ycfvlDkR6gLZldzl12A?authuser=0&hl=en&rclk=1","Mustang Thakali , Gaida Chowk, Sauraha, Chitwan",3.8,54,Restaurant,Failed to retrieve search results,Opens 7AM , Closes 11:30PM,https://lh5.googleusercontent.com/p/AF1QipMmCLO0cD9V5Opp30r08rv1q1xICCchWkhGrl3k=w163-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Nature+View+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3994efab9473cf05:0xc49939481a77d602!8m2!3d27.5744769!4d84.493093!16s%2Fg%2F11gw1ffh11!19sChIJBc9zlKvvlDkRAtZ3Gkg5mcQ?authuser=0&hl=en&rclk=1,Nature View Restaurant & Bar,3.5,39,Restaurant,Failed to retrieve search results, Opens 5AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOhb34RsnnyBpY1P0hhFdKowHeaX_mG_13eBKwY=w122-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Himalaya+restaurant+and+cottage/data=!4m7!3m6!1s0x3994f10f831abfd5:0x1d912d019ef37695!8m2!3d27.6160224!4d84.4007179!16s%2Fg%2F11r2rr9n3b!19sChIJ1b8agw_xlDkRlXbzngEtkR0?authuser=0&hl=en&rclk=1,Himalaya restaurant and cottage,4.5,6,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMgNVrCqiqnDSd-kbXT_XCzDry3Sn9OwVMhT7f8=w122-h92-k-no,Dine-in,Drive-through,No-contact delivery,Failed to retrieve search results
https://www.google.com/maps/place/Rapti+Beach+Restaurant+And+Bar/data=!4m7!3m6!1s0x3994eee47d19c72d:0xdafc460719763be2!8m2!3d27.5750124!4d84.493441!16s%2Fg%2F11b_2wzl47!19sChIJLccZfeTulDkR4jt2GQdG_No?authuser=0&hl=en&rclk=1,Rapti Beach Restaurant And Bar,3.8,105,Restaurant,Failed to retrieve search results, Opens 10AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMRsZg3L48hHfqYFR0oOEkWSXHQqY-RMBMyaaM_=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/SB+Dragon+and+Dhawa/data=!4m7!3m6!1s0x3994e9ad06714ef9:0xf778a722fe5b9caf!8m2!3d27.6172622!4d84.5355351!16s%2Fg%2F11r5_5hwy2!19sChIJ-U5xBq3plDkRr5xb_iKnePc?authuser=0&hl=en&rclk=1,SB Dragon and Dhawa,5,1,Nepalese,Failed to retrieve search results, Opens 7AM , Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipOc6zUpR3rA8ynYtWPFAN_exO_-Z1p7FpA43W7F=w189-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Jungle+View+Restaurant/data=!4m7!3m6!1s0x3994eee3bd6d3865:0x9082e30aea1557b3!8m2!3d27.5772222!4d84.4941667!16s%2Fg%2F1tjkd68r!19sChIJZThtvePulDkRs1cV6grjgpA?authuser=0&hl=en&rclk=1,Jungle View Restaurant,3.8,47,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPWPfqPfLaC_NbTTJvdmQkB6c6jBWtELbHbRedy=w161-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Sauraha+Chowk+Tandoori+Restuarent/data=!4m7!3m6!1s0x3994ef5141df7cc5:0xf0bb89c23301f136!8m2!3d27.6218843!4d84.5159055!16s%2Fg%2F11hbsjd61p!19sChIJxXzfQVHvlDkRNvEBM8KJu_A?authuser=0&hl=en&rclk=1,Sauraha Chowk Tandoori Restuarent,3.9,81,Restaurant,Failed to retrieve search results, Opens 8AM , Closes 8:30PM,https://lh5.googleusercontent.com/p/AF1QipOmDPg24AU342NSVCG5GSVxxqvgRoIAbgWVCq8j=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/The+Barista+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x3994e9bec512c11f:0xca5127575a4af9dc!8m2!3d27.6104178!4d84.5688996!16s%2Fg%2F11k6r90lp2!19sChIJH8ESxb7plDkR3PlKWlcnUco?authuser=0&hl=en&rclk=1,The Barista Cafe & Restaurant,4.3,35,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMjd_dMEZX98rRMGojQeHLdHJKzu03RnH-6nJqo=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Sunrise+Cottage+And+Resturant/data=!4m7!3m6!1s0x3994ef1c3f52b4b1:0x543becf4836e4164!8m2!3d27.6024849!4d84.5104164!16s%2Fg%2F11h1z1cygs!19sChIJsbRSPxzvlDkRZEFug_TsO1Q?authuser=0&hl=en&rclk=1,Sunrise Cottage And Resturant,4.1,52,Restaurant,Failed to retrieve search results, Opens 8AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOKj8E2LEjZ1mjEq2VYOy_yH0uVcNghIhl4Vghh=w80-h106-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Lime+and+Lemon+Lounge+Pvt.+Ltd/data=!4m7!3m6!1s0x3994fbf4a130e21f:0x5c1a4e1d4fbb3674!8m2!3d27.6890754!4d84.4337675!16s%2Fg%2F11gyyx07mm!19sChIJH-IwofT7lDkRdDa7Tx1OGlw?authuser=0&hl=en&rclk=1,Lime and Lemon Lounge Pvt. Ltd,4,552,Restaurant,Failed to retrieve search results, Opens 6AM , Opens 5PM,https://lh5.googleusercontent.com/p/AF1QipP1Hvslob49YV8-nQD3favGNNpawvHAbMyO0Aw=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Bishram+Restaurant/data=!4m7!3m6!1s0x3994efecb58dc01f:0xaa3ea7948e33ab60!8m2!3d27.6239202!4d84.5128612!16s%2Fg%2F11r2jcz4yf!19sChIJH8CNtezvlDkRYKszjpSnPqo?authuser=0&hl=en&rclk=1,Bishram Restaurant,5,2,Family-friendly,Failed to retrieve search results, 12AM  Opens 5PM ,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipOBoeVQUtUQurvrLpAfzkm67rmZOz0IXf5fwTVw=w122-h92-k-no,Dine-in,Kerbside pickup,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Ip+dhaba/data=!4m7!3m6!1s0x3994e942aba4b84f:0x37f39136f6c98b83!8m2!3d27.6172647!4d84.5354668!16s%2Fg%2F11r5_8js5b!19sChIJT7ikq0LplDkRg4vJ9jaR8zc?authuser=0&hl=en&rclk=1,Ip dhaba,5,1,Restaurant,Failed to retrieve search results,Opens 7AM ,Closes 8PM,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,Dine-in,Takeaway,Delivery,Failed to retrieve search results
