URL,Title,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Koharu+Japanese+Restaurant/data=!4m7!3m6!1s0x39eb18fdaf2825ef:0x47993df698ccde31!8m2!3d27.7134645!4d85.3115187!16s%2Fg%2F11b6lg_mqj!19sChIJ7yUor_0Y6zkRMd7MmPY9mUc?authuser=0&hl=en&rclk=1,Koharu Japanese Restaurant,2.9,8,Japanese,"P876+9JJ, Thamel Marg", Opens 9AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipNUtvFtqG-b-6LthCTVc1J5UCwXx8IKDVevjmeT=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Zhonghua+Restaurant/data=!4m7!3m6!1s0x39eb18fcc56ca99b:0xebbb780d76764091!8m2!3d27.7160229!4d85.310318!16s%2Fg%2F11bv6lchkl!19sChIJm6lsxfwY6zkRkUB2dg14u-s?authuser=0&hl=en&rclk=1,Zhonghua Restaurant,3.9,158,Chinese,"first floor, Chaksibari Marg 410", Opens 11AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipOnLQ96la_LKuSBlgZ2AHzmnmcABcViE9eqUP4W=w184-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Vinoliva+Restaurant+%26+Bar+%7C+Multi-cuisine+Restaurant+and+Bar+in+Kathmandu/data=!4m7!3m6!1s0x39eb19ff53306b13:0xee728f97afbd7cf!8m2!3d27.7179539!4d85.3211928!16s%2Fg%2F11sbvgd6ww!19sChIJE2swU_8Z6zkRz9f7evko5w4?authuser=0&hl=en&rclk=1,Vinoliva Restaurant & Bar | Multi-cuisine Restaurant and Bar in Kathmandu,4.4,91,Restaurant,Narayanhiti Palace Museum North Gate Rd, Opens 8AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOqWQNhnHV5H72P_Qt5RFJexIvKGaXS15EfPAtB=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Dae+jang+geum+Korean+Restaurant/data=!4m7!3m6!1s0x39eb18fce4720dad:0x44660b6499f24092!8m2!3d27.714908!4d85.3104542!16s%2Fg%2F11c5__xxwz!19sChIJrQ1y5PwY6zkRkkDymWQLZkQ?authuser=0&hl=en&rclk=1,Dae jang geum Korean Restaurant,4.6,138,Korean beef restaurant,Paryatan Marg 29, Opens 10AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipMB2yZA2KULHxeFci2_J8Ete3uVxtwKVN86c3-n=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Lalupatey+Garden+Restaurant/data=!4m7!3m6!1s0x39eb196185347963:0x93073dc85a160153!8m2!3d27.7247874!4d85.352928!16s%2Fg%2F11bzv93gly!19sChIJY3k0hWEZ6zkRUwEWWsg9B5M?authuser=0&hl=en&rclk=1,Lalupatey Garden Restaurant,4,73,Restaurant,"44602,",Opens 8AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPb_7lWOAqlJLKjfkSQPhJxZ9o-pWoPUKo96q0z=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Maam+Resto/data=!4m7!3m6!1s0x39eb193cbea32edf:0x901179f874600466!8m2!3d27.7082653!4d85.32364!16s%2Fg%2F11nfv81mxx!19sChIJ3y6jvjwZ6zkRZgRgdPh5EZA?authuser=0&hl=en&rclk=1,Maam Resto,4.4,42,Restaurant,"Dhobidhara one-way, Near IIMS College Kumari Hall Road", Opens 9AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipPZ5Gyf6s32TH0Aj4v6ydusCzX46C0YayFOu8Ii=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Taas+%26+Sekuwa+Mahal/data=!4m7!3m6!1s0x39eb185174e3bc87:0x27b66cd9f067a7e0!8m2!3d27.6962464!4d85.3075404!16s%2Fg%2F11b6mj7zkw!19sChIJh7zjdFEY6zkR4Kdn8Nlstic?authuser=0&hl=en&rclk=1,Taas & Sekuwa Mahal,3.9,263,Restaurant,"M8W5+F2V, Tripura Marg", Opens 7AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipP1FEX77gVLr_VdkOs0mGZhjX8IdGi2iPMqXg3Q=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
"https://www.google.com/maps/place/Hotel+Ramnam,+Pure+Vegetarian+Marwadi+Restaurant/data=!4m7!3m6!1s0x39eb1977beb10061:0xb8ac924168641303!8m2!3d27.7062504!4d85.3435721!16s%2Fg%2F11d_w79j0y!19sChIJYQCxvncZ6zkRAxNkaEGSrLg?authuser=0&hl=en&rclk=1","Hotel Ramnam, Pure Vegetarian Marwadi Restaurant",3.9,113,Vegetarian,P84V+GC4, Opens 7:30AM, Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipPjoM66R16augDU6rP8EV5tFFJ13YIGXEKgJ4WV=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/The+Diplomat%2FForeign+Affairs/data=!4m7!3m6!1s0x39eb19819c868ab1:0xdc4df92668f1736a!8m2!3d27.7189328!4d85.3177287!16s%2Fg%2F11gzs5yhtn!19sChIJsYqGnIEZ6zkRanPxaCb5Tdw?authuser=0&hl=en&rclk=1,The Diplomat/Foreign Affairs,4.3,132,Indian,, Opens 10AM, Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipNK7eVqx5OpX_xYImIRDuYMe2UiuQbTRyvO0rKR=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/ANIYOR+VEG+%26+VEGAN+RESTAURANT/data=!4m10!3m9!1s0x39eb190477dd9717:0x1a2376ad1a0fcdc3!5m2!4m1!1i2!8m2!3d27.7174602!4d85.3119186!16s%2Fg%2F11b_2s7x1k!19sChIJF5fddwQZ6zkRw80PGq12Ixo?authuser=0&hl=en&rclk=1,ANIYOR VEG & VEGAN RESTAURANT,4.2,311,Vegetarian,, Opens 6AM, Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipMD2QGCHjCFPdXyC3zYvZ9U_F4J459Mwhra414y=w163-h92-k-no,Dine-in,Kerbside pickup,No-contact delivery
